Fecha,Hora,IP origen,IP destino, Prot. Capa Transporte,Puerto origen,Puerto destino,Community SNMP
Apr 14, 2022 13:27:32.226167000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.226751000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.261135000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.261412000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.273521000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.273789000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.289585000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.289849000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.305577000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.305811000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.321420000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.321659000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.337330000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.337579000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.353270000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.353491000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.369238000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.369486000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.384242000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.384482000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.400124000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.400356000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.416148000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.416353000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.432150000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.432425000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.448019000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.448261000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.464020000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.464317000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.480165000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.480752000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.495126000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.495699000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.511049000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.511624000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.526975000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.527566000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
