Fecha,Hora,IP origen,IP destino,Pre. DNP3
Jun  5, 2022 14:30:53.791573000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.794143000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.794156000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.801324000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.801476000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.801486000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.806774000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.813038000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.813069000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.814413000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.891658000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.892297000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.892312000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.895318000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.895336000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.895612000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.897001000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.897001000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.897015000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.897850000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.897857000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.898567000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.898575000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.899951000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.899951000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.899957000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.899972000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.900820000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.900820000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.900820000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.900820000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.900830000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.901389000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.901389000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.902742000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.902748000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.903350000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.903350000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.903356000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.903991000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.903992000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.903998000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.904696000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.904696000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.904701000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.905458000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.905458000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.905458000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.905465000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.906158000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906158000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906158000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906167000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.906849000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906849000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906849000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.906856000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.906864000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:53.907653000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.907653000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.908285000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.908286000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.908903000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.908903000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.909825000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.909825000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.909825000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:53.995917000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.113764000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.113765000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.113811000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.127878000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.191819000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.191874000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.268870000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.334270000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.334298000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571401000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571426000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571617000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571626000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571761000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.571770000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573366000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.573366000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.573387000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573398000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573559000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573569000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573708000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573718000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573900000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.573900000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.573913000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.573921000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.574079000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.574089000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.574219000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.578944000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.578952000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.578961000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.579116000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.579124000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.581931000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.581941000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.581959000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582086000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582094000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582240000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582248000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582253000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.582430000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.583048000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.583054000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.583062000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.583162000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.583170000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.583702000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.583702000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.584391000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.585137000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.585811000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.587742000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.587748000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.587759000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.587949000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588066000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588074000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588079000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588166000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588206000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.588314000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.589360000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.589360000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.589360000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.589367000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.589377000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.589384000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.590484000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.590489000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.591678000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.591684000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.591693000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.592561000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.592561000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.592568000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.592576000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.593682000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.594395000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.595002000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.595002000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.660527000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.660544000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.687116000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.738610000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.738630000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.739696000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.801415000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.802671000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.864618000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:54.868993000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:54.989896000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.052116000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.057268000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.114827000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.127321000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.192154000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.236064000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260395000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260420000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260599000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260609000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260751000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260759000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260901000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.260909000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.261034000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.261042000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.261165000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.261174000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.261299000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.262754000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.262754000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.262766000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.262773000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.262777000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.262909000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.262917000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.263040000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.263694000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.263694000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.263701000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.263710000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.263826000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.263939000 EDT,192.168.2.87,192.168.2.92,
Jun  5, 2022 14:30:55.264558000 EDT,192.168.2.92,192.168.2.87,
Jun  5, 2022 14:30:55.264558000 EDT,192.168.2.92,192.168.2.87,
