Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus, Cod. Excepcion Modbus
Apr 23, 2022 13:57:13.335750000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:13.336676000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:13.336728000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:13.337523000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:13.338328000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:13.345543000 EDT,192.168.100.3,192.168.100.2,0,4,1
Apr 23, 2022 13:57:13.345567000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:13.349596000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:13.350492000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:13.350500000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:14.556128000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:14.556568000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:14.556584000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:14.556847000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:14.557219000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:16.561628000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:16.563811000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:16.563848000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:17.769583000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:17.770538000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:17.770604000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:17.771102000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:17.771893000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:19.775994000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:19.777258000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:19.777350000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:20.981859000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:20.982843000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:20.982903000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:20.983896000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:20.984681000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:22.987036000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:22.987651000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:22.987663000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:24.194739000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:24.195658000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:24.195725000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:24.196359000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:24.197134000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:26.199877000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:26.200901000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:26.200933000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:27.406752000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:27.407735000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:27.407797000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:27.408698000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:27.409424000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:29.411210000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:29.412026000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:29.412052000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:30.616937000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:30.617797000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:30.617858000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:30.618825000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:30.619572000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:32.624181000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:32.625131000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:32.625160000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:33.828974000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:33.829670000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:33.829711000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:33.830475000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:33.831089000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:35.835460000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:35.837101000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:35.837265000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:37.041399000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:37.042425000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:37.042545000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:37.043272000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:37.044072000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:39.045656000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:39.046160000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:39.046173000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:40.249973000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:40.250887000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:40.250935000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:40.251647000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:40.252283000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:42.253028000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:42.253926000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:42.253948000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:43.459420000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:43.459927000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:43.459959000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:43.460364000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:43.460768000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:45.463135000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:45.463723000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:45.463741000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:46.667353000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:46.667928000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:46.667963000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:46.668519000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:46.668991000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:48.671051000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:48.671642000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:48.671659000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:49.875542000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:49.876092000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:49.876136000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:49.876630000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:49.876986000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:51.879554000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:51.880131000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:51.880162000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:53.083300000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:53.083815000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:53.083839000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:53.084219000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:53.084591000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:55.087261000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:55.087822000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:55.087834000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:56.290947000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:56.291403000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:56.291422000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:56.291607000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:56.291964000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:58.295330000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:58.296149000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:58.296173000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:59.499615000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:59.500033000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:57:59.500051000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:57:59.500366000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:57:59.500752000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:58:01.503012000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:58:01.503566000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:58:01.503580000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:58:02.707241000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:58:02.708077000 EDT,192.168.100.3,192.168.100.2,,,
Apr 23, 2022 13:58:02.708130000 EDT,192.168.100.2,192.168.100.3,,,
Apr 23, 2022 13:58:02.708970000 EDT,192.168.100.2,192.168.100.3,0,4,
Apr 23, 2022 13:58:02.709719000 EDT,192.168.100.3,192.168.100.2,,,
