Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 23, 2022 13:46:06.888839000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 13:46:06.889262000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 13:46:06.889279000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 13:46:06.889522000 EDT,192.168.100.2,192.168.100.3,0,4
Apr 23, 2022 13:46:06.889892000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 13:46:06.896079000 EDT,192.168.100.3,192.168.100.2,0,4
Apr 23, 2022 13:46:06.896092000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 13:46:06.897261000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 13:46:06.897658000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 13:46:06.897667000 EDT,192.168.100.2,192.168.100.3,,                                                                                                       
