Fecha,Hora,IP origen,IP destino,Destino DNP3,Cod. Funcion DNP3
May  7, 2022 11:43:59.361000000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:43:59.362560000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:43:59.362675000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:43:59.382061000 EDT,192.168.2.86,192.168.2.91,2,130
May  7, 2022 11:43:59.399989000 EDT,192.168.2.91,192.168.2.86,1,
May  7, 2022 11:43:59.408770000 EDT,192.168.2.86,192.168.2.91,2,
May  7, 2022 11:43:59.408841000 EDT,192.168.2.91,192.168.2.86,1,0
May  7, 2022 11:43:59.451977000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:43:59.452035000 EDT,192.168.2.91,192.168.2.86,1,2
May  7, 2022 11:43:59.499051000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:43:59.536999000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:43:59.583626000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:43:59.619059000 EDT,192.168.2.91,192.168.2.86,1,2
May  7, 2022 11:43:59.628765000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:43:59.677369000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:09.384560000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:09.413495000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:09.458096000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:19.368438000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:19.399870000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:19.441528000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:19.499738000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:19.519396000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:19.566462000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:29.519005000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:29.520407000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:44:29.523552000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:29.539491000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:29.581504000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:39.396650000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:39.458774000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:39.502708000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:39.569422000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:39.585979000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:39.627696000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:48.739742000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:48.761956000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:48.814459000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:49.584754000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:49.595385000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:44:49.642494000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:59.594995000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:59.596309000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:44:59.650620000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:44:59.650710000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:44:59.664775000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:44:59.695003000 EDT,192.168.2.86,192.168.2.91,2,129
