Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 23, 2022 14:13:30.170604000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:13:30.170982000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:13:30.170999000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:13:30.171750000 EDT,192.168.100.2,192.168.100.3,0,3
Apr 23, 2022 14:13:30.172123000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:13:30.172441000 EDT,192.168.100.3,192.168.100.2,0,3
Apr 23, 2022 14:13:30.172447000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:13:30.173443000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:13:30.173823000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:13:30.173830000 EDT,192.168.100.2,192.168.100.3,,

