Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 23, 2022 14:18:23.833823000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:18:23.834279000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:18:23.834297000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:18:23.835250000 EDT,192.168.100.2,192.168.100.3,0,3
Apr 23, 2022 14:18:23.835721000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:18:23.842473000 EDT,192.168.100.3,192.168.100.2,0,3
Apr 23, 2022 14:18:23.842484000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:18:23.843979000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:18:23.844392000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:18:23.844402000 EDT,192.168.100.2,192.168.100.3,,


