Fecha,Hora,IP origen,IP destino,Job S7comm,Cod. Funcion S7comm,DB Req,Response Data
Apr  6, 2022 11:56:51.723868000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:56:51.728868000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:56:51.728881000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:53.014702000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:56:53.016778000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:56:53.016790000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:54.225165000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:56:54.228067000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:56:54.228079000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:55.516740000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:56:55.519474000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:56:55.519485000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:56.726957000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:56:56.729611000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:56:56.729624000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:58.020004000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:56:58.023878000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:56:58.023890000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:56:59.226626000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:56:59.230590000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:56:59.230601000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:00.522541000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:00.527035000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:00.527049000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:01.728875000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:01.731005000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:01.731017000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:03.036171000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:03.038767000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:03.038784000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:04.236882000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:04.240724000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:04.240738000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:05.537264000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:05.542196000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:05.542228000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:06.737230000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:06.739458000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:06.739484000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:08.039339000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:08.041157000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:08.041168000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:09.237364000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:09.239357000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:09.239375000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:10.540660000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:10.543339000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:10.543351000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:11.737656000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:11.740507000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:11.740518000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:13.043806000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:13.048919000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:13.048933000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:14.240777000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:14.244721000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:14.244733000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:15.544017000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:15.546220000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:15.546232000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:16.741984000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:16.745929000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:16.745941000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:18.044287000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:18.045877000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:18.045888000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:19.246132000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:19.249982000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:19.249994000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:20.546597000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:20.548909000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:20.548922000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:21.749276000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:21.751261000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:21.751274000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:23.048698000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:23.052558000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:23.052578000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:24.264225000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:24.268002000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:24.268015000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:25.549885000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:25.551389000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:25.551408000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:26.764709000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:26.766810000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
