Fecha,Hora,IP origen,IP destino,Cod. Funcion Modbus
May  6, 2022 12:51:38.981829000 EDT,192.168.100.2,192.168.100.3,
May  6, 2022 12:51:38.982221000 EDT,192.168.100.3,192.168.100.2,
May  6, 2022 12:51:38.982237000 EDT,192.168.100.2,192.168.100.3,
May  6, 2022 12:51:38.982863000 EDT,192.168.100.2,192.168.100.3,15
May  6, 2022 12:51:38.983190000 EDT,192.168.100.3,192.168.100.2,
May  6, 2022 12:51:38.992840000 EDT,192.168.100.3,192.168.100.2,15
May  6, 2022 12:51:38.992855000 EDT,192.168.100.2,192.168.100.3,
May  6, 2022 12:51:38.993343000 EDT,192.168.100.2,192.168.100.3,
May  6, 2022 12:51:38.993772000 EDT,192.168.100.3,192.168.100.2,
May  6, 2022 12:51:38.993782000 EDT,192.168.100.2,192.168.100.3,
