Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 23, 2022 14:20:38.124416000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:20:38.124848000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:20:38.124869000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:20:38.125657000 EDT,192.168.100.2,192.168.100.3,0,1
Apr 23, 2022 14:20:38.126020000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:20:38.126574000 EDT,192.168.100.3,192.168.100.2,0,1
Apr 23, 2022 14:20:38.126581000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:20:38.127806000 EDT,192.168.100.2,192.168.100.3,,
Apr 23, 2022 14:20:38.128285000 EDT,192.168.100.3,192.168.100.2,,
Apr 23, 2022 14:20:38.128294000 EDT,192.168.100.2,192.168.100.3,,
