Fecha,Hora,IP origen,IP destino,Job S7comm,Cod. Funcion S7comm,DB Req,Write/Response Data
Apr  6, 2022 12:16:44.692554000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:45.708999000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:47.725207000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.200699000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:16:55.204330000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.204589000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:16:55.204603000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.204903000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.206003000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:16:55.206015000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.206193000 EDT,192.168.0.142,192.168.0.64,1,0x000000f0,,
Apr  6, 2022 12:16:55.221721000 EDT,192.168.0.64,192.168.0.142,3,0x000000f0,,
Apr  6, 2022 12:16:55.221737000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.224283000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 12:16:55.227256000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 12:16:55.227265000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:55.332563000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:16:55.595376000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:16:56.118801000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:16:57.166566000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:16:58.249057000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:16:58.249259000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:16:59.166377000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:17:01.166192000 EDT,192.168.0.64,239.255.255.250,,,,
Apr  6, 2022 12:17:01.256992000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:01.257220000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:02.321930000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.322446000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:02.325332000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:02.325349000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.333690000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.333965000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:02.333990000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.334119000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.335078000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:02.335096000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.335222000 EDT,192.168.0.142,192.168.0.64,1,0x000000f0,,
Apr  6, 2022 12:17:02.351995000 EDT,192.168.0.64,192.168.0.142,3,0x000000f0,,
Apr  6, 2022 12:17:02.352013000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.358811000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 12:17:02.365202000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 12:17:02.365232000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:02.434694000 EDT,192.168.0.142,192.168.0.64,1,0x00000005,2,0064
Apr  6, 2022 12:17:02.437066000 EDT,192.168.0.64,192.168.0.142,3,0x00000005,,
Apr  6, 2022 12:17:02.437086000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:05.441627000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:05.441815000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:08.457815000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:08.458038000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:11.465333000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:11.465552000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:14.473857000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:14.474075000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:17.481303000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:17.481496000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:20.489839000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:20.490053000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:23.497039000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:23.497262000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:26.507305000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:26.507521000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:29.514810000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:29.515023000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:31.492946000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:31.493278000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 12:17:31.493654000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 12:17:37.922625000 EDT,192.168.0.142,192.168.0.64,,,,
