Fecha,Hora,IP origen,IP destino,Cod. Funcion Modbus
Apr 23, 2022 14:28:55.784940000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:28:55.785577000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:28:55.785590000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:28:55.786480000 EDT,192.168.100.2,192.168.100.3,6
Apr 23, 2022 14:28:55.786884000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:28:55.787373000 EDT,192.168.100.3,192.168.100.2,6
Apr 23, 2022 14:28:55.787380000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:28:55.787976000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:28:55.793266000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:28:55.793278000 EDT,192.168.100.2,192.168.100.3,
