Fecha,Hora,IP origen,IP destino,Cod. Funcion Modbus
Apr 23, 2022 14:33:50.174635000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:33:50.175097000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:33:50.175113000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:33:50.175911000 EDT,192.168.100.2,192.168.100.3,16
Apr 23, 2022 14:33:50.176279000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:33:50.184551000 EDT,192.168.100.3,192.168.100.2,16
Apr 23, 2022 14:33:50.184565000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:33:50.185237000 EDT,192.168.100.2,192.168.100.3,
Apr 23, 2022 14:33:50.185579000 EDT,192.168.100.3,192.168.100.2,
Apr 23, 2022 14:33:50.185587000 EDT,192.168.100.2,192.168.100.3,
