Fecha,Hora,IP origen,IP destino,Servicio CIP,CIP Request Path Size,PCCC Cod. Funcion,PCCC File Number,PCCC FIle Type
May  2, 2022 14:21:14.967272000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.967464000 EDT,192.168.0.64,192.168.0.142,,,,,
May  2, 2022 14:21:14.967482000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.968186000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.969326000 EDT,192.168.0.64,192.168.0.142,,,,,
May  2, 2022 14:21:14.969341000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.970711000 EDT,192.168.0.142,192.168.0.64,0x00000054,2,,,
May  2, 2022 14:21:14.971388000 EDT,192.168.0.64,192.168.0.142,0x000000d4,2,,,
May  2, 2022 14:21:14.971400000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.972387000 EDT,192.168.0.142,192.168.0.64,0x0000004b,2,162,0x00000005,71
May  2, 2022 14:21:14.972415000 EDT,192.168.0.142,192.168.0.64,,,,,
May  2, 2022 14:21:14.972577000 EDT,192.168.0.64,192.168.0.142,,,,,
May  2, 2022 14:21:14.972692000 EDT,192.168.0.64,192.168.0.142,,,,,
May  2, 2022 14:21:14.972768000 EDT,192.168.0.64,192.168.0.142,,,,,
