Fecha,Hora,IP origen,IP destino,Protocolo,Destino DNP3,Cod. Funcion DNP3
Jun  5, 2022 07:41:25.443855000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:41:25.443981000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:41:25.460916000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:25.473615000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:25.520194000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:41:35.384106000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:35.405627000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:35.456782000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:41:35.509312000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:35.521334000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:35.566036000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:41:36.930701000 EDT,192.168.2.91,192.168.2.86,dnp3,1,10
Jun  5, 2022 07:41:36.980259000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:41:44.145352000 EDT,192.168.2.91,192.168.2.86,dnp3,1,7
Jun  5, 2022 07:41:44.181435000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:44.238055000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:41:45.540092000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:45.558955000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:45.574877000 EDT,192.168.2.91,192.168.2.86,dnp3,1,0
Jun  5, 2022 07:41:45.617722000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:41:46.958991000 EDT,192.168.2.91,192.168.2.86,dnp3,1,8
Jun  5, 2022 07:41:46.999638000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:41:55.430784000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:55.445379000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:55.465467000 EDT,192.168.2.91,192.168.2.86,dnp3,1,0
Jun  5, 2022 07:41:55.514087000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:41:55.555902000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:41:55.565221000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:41:55.612065000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:05.580418000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:05.580459000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:42:05.616233000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:05.626977000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:05.673839000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:12.878808000 EDT,192.168.2.91,192.168.2.86,dnp3,1,20
Jun  5, 2022 07:42:12.901946000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:12.954955000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:12.955075000 EDT,192.168.2.86,192.168.2.91,dnp3,2,130
Jun  5, 2022 07:42:13.001763000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:13.005073000 EDT,192.168.2.91,192.168.2.86,dnp3,1,0
Jun  5, 2022 07:42:13.051228000 EDT,192.168.2.86,192.168.2.91,,,
Jun  5, 2022 07:42:15.460138000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:15.471845000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:15.517091000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:15.634979000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:15.652399000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:15.704751000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:18.378589000 EDT,192.168.2.91,192.168.2.86,dnp3,1,20
Jun  5, 2022 07:42:18.385786000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:18.438703000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:22.639198000 EDT,192.168.2.91,224.0.0.22,,,
Jun  5, 2022 07:42:22.670965000 EDT,192.168.2.91,224.0.0.22,,,
Jun  5, 2022 07:42:22.671309000 EDT,192.168.2.91,224.0.0.22,,,
Jun  5, 2022 07:42:22.671309000 EDT,192.168.2.91,224.0.0.22,,,
Jun  5, 2022 07:42:22.673398000 EDT,192.168.2.91,224.0.0.251,,,
Jun  5, 2022 07:42:22.674529000 EDT,192.168.2.91,224.0.0.251,,,
Jun  5, 2022 07:42:22.674529000 EDT,192.168.2.91,224.0.0.251,,,
Jun  5, 2022 07:42:22.675689000 EDT,192.168.2.91,224.0.0.251,,,
Jun  5, 2022 07:42:23.016939000 EDT,192.168.2.91,224.0.0.22,,,
Jun  5, 2022 07:42:25.647171000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:25.657954000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:25.704422000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:28.909581000 EDT,192.168.2.91,192.168.2.86,dnp3,1,2
Jun  5, 2022 07:42:28.914719000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:28.969800000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:35.477018000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:35.486758000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:35.531574000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:35.691028000 EDT,192.168.2.91,192.168.2.86,dnp3,1,1
Jun  5, 2022 07:42:35.700553000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:35.750544000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:38.080985000 EDT,192.168.2.91,192.168.2.86,dnp3,1,13
Jun  5, 2022 07:42:38.087419000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:38.141387000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:39.721539000 EDT,192.168.2.91,192.168.2.86,dnp3,1,13
Jun  5, 2022 07:42:39.735479000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:39.781697000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:41.096026000 EDT,192.168.2.91,192.168.2.86,dnp3,1,13
Jun  5, 2022 07:42:41.108783000 EDT,192.168.2.86,192.168.2.91,dnp3,2,129
Jun  5, 2022 07:42:41.156626000 EDT,192.168.2.91,192.168.2.86,,,
Jun  5, 2022 07:42:42.580427000 EDT,192.168.2.91,192.168.2.86,dnp3,1,13
