Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 10, 2022 06:37:16.046938000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:16.047342000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:16.047361000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:16.047581000 EDT,192.168.100.2,192.168.100.3,0,3
Apr 10, 2022 06:37:16.047926000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:16.048849000 EDT,192.168.100.3,192.168.100.2,0,3
Apr 10, 2022 06:37:16.048857000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:16.048996000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:16.049345000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:16.049354000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:17.050236000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:17.050642000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:17.050661000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:17.050742000 EDT,192.168.100.2,192.168.100.3,0,3
Apr 10, 2022 06:37:17.051012000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:17.056411000 EDT,192.168.100.3,192.168.100.2,0,3
Apr 10, 2022 06:37:17.056429000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:17.056604000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:37:17.057203000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:37:17.057214000 EDT,192.168.100.2,192.168.100.3,,
