Fecha,Hora,IP origen,IP destino,ID protocolo,Cod. Funcion Modbus
Apr 10, 2022 06:33:59.558958000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:33:59.559382000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:33:59.559402000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:33:59.561902000 EDT,192.168.100.2,192.168.100.3,0,3
Apr 10, 2022 06:33:59.562259000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:33:59.573821000 EDT,192.168.100.3,192.168.100.2,0,3
Apr 10, 2022 06:33:59.573841000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:33:59.574456000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:33:59.574906000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:33:59.574917000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:34:00.575642000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:34:00.576075000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:34:00.576095000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:34:00.576186000 EDT,192.168.100.2,192.168.100.3,0,16
Apr 10, 2022 06:34:00.576411000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:34:00.592258000 EDT,192.168.100.3,192.168.100.2,0,16
Apr 10, 2022 06:34:00.592273000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:34:00.592458000 EDT,192.168.100.2,192.168.100.3,,
Apr 10, 2022 06:34:00.592696000 EDT,192.168.100.3,192.168.100.2,,
Apr 10, 2022 06:34:00.592707000 EDT,192.168.100.2,192.168.100.3,,
